CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,cell_cycle_theta
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_H15.out.bam,826571,116069,826571.0,980034.7,0.04999999999999993
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I02.out.bam,1223978,67226,1223978.0,969105.06,0.08999999999999997
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I03.out.bam,680234,58765,680234.0,967827.06,0.16000000000000003
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I05.out.bam,961870,72842,961870.0,979015.56,0.040000000000000036
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I06.out.bam,1033460,51726,1033460.0,955176.7,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I07.out.bam,1540966,91912,1540966.0,953540.9,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I08.out.bam,829865,60624,829865.0,872222.0,0.25
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I09.out.bam,954084,129320,954084.0,960285.3,0.010000000000000009
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I10.out.bam,1274406,62834,1274406.0,950530.06,0.08999999999999997
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I11.out.bam,1780195,112344,1780195.0,967989.9,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I12.out.bam,1020451,67889,1020451.0,908605.2,0.07999999999999996
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I13.out.bam,619987,52152,619987.0,959101.56,0.030000000000000027
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I14.out.bam,1376136,83563,1376136.0,958281.44,0.030000000000000027
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_I15.out.bam,1717363,217925,1717363.0,939443.56,0.47
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J02.out.bam,1241771,69175,1241771.0,1001463.0,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J03.out.bam,971671,99593,971671.0,966446.5,0.020000000000000018
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J04.out.bam,825766,89356,825766.0,971991.5,0.010000000000000009
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J05.out.bam,1380581,71712,1380581.0,935705.75,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J07.out.bam,702034,214396,702034.0,900662.7,0.8
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J08.out.bam,1222991,53013,1222991.0,949291.7,0.12
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J09.out.bam,998957,70835,998957.0,887090.44,0.010000000000000009
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J10.out.bam,649952,60399,649952.0,816485.56,0.04999999999999993
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J12.out.bam,1740827,131114,1740827.0,952494.7,0.99
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J13.out.bam,1494331,53420,1494331.0,957937.9,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_J15.out.bam,1059296,113548,1059296.0,974168.4,0.76
