CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_B07.out.bam,1666149,68895,1666149.0,998808.56,0.036943853,762.17,0.8001405596733093,0.9311392,0.5278687824767225,0.08393583249908197,0.10903866589069366
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_B08.out.bam,1259232,44971,1259232.0,955783.75,0.093919516,511.46,0.2729793190956116,0.8688147,0.6099965048577958,0.32000759627457825,0.13199731707572937
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_C04.out.bam,1421586,41253,1421586.0,936236.6,0.67620313,152.2,0.3754880726337433,0.3007254,0.4982753537495685,0.24107731093258944,0.13665753602981567
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_D03.out.bam,921505,43291,921505.0,930765.9,0.20870286,506.62,0.60965895652771,0.7687447,0.2279160383968799,0.21011023765583256,0.13102403283119202
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_D07.out.bam,1049226,42516,1049226.0,1010576.4,0.014987886,383.45,0.7618767023086548,0.96795106,0.3924673719622486,0.11188931206701506,0.06305032223463058
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_E01.out.bam,1790074,104369,1790074.0,986058.44,0.03832376,429.88,0.7871073484420776,0.94439775,0.27050421494345855,0.0883793309619501,0.07294879108667374
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_E02.out.bam,921962,65815,921962.0,997653.2,0.0,1044.67,0.9339683055877686,0.9827724,0.2903089000693567,0.04597747043610995,0.06154925003647804
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_E03.out.bam,974655,46602,974655.0,989180.0,0.7514213,97.64,0.2131306231021881,0.25726053,0.571478285353915,0.11023148901834733,0.0728573203086853
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_E07.out.bam,1507099,132937,1507099.0,977665.75,0.38153315,555.04,0.5065507292747498,0.6002722,0.022961762049857934,0.2756312594291373,0.37448692321777344
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_F01.out.bam,1410517,157706,1410517.0,988548.6,0.41765094,417.39,0.43598252534866333,0.5739777,0.04830685352261902,0.383649783830412,0.4116474986076355
onefilepercell_JR1227_1_1_G19_and_others_BYWTI:JR1227_1_2_F02.out.bam,993424,99660,993424.0,977069.9,0.26443064,638.46,0.5817230343818665,0.7304896,0.09085548594681402,0.33004044088220136,0.3846893906593323
