"","FSC-A","FSC-H","SSC-A","SSC-H","CD20","CD56","CD45","CD38","CD138","CD4_IgD","CD14_7AAD","CD19","CD16","CD8","CD3","CD27","TIME","CD4","IgD","Plate","Index","Cell","Cell_type"
"JR1284_1_CSF_all.fcs.2830",274639.5625,241671.921875,83049.3671875,48049.12109375,-0.0638842583761406,0.103393980488546,4.76773692340684,-0.543686567014145,-0.858716863768427,5.0998450853078,0.237942729619375,0.686535171860111,0.865913014189643,-0.781853866310335,3.07668304124533,0.00070731477939304,141.103286743164,5.0998450853078,0.0138824581768513,3,"L8","1284_1_3_L08","CD4T"
"JR1284_1_CSF_all.fcs.2848",266941.0625,233566.484375,89619.59375,55454.55859375,-0.589134707725455,4.22121492100128,4.40721520598671,3.10395894664951,-0.286209961398112,0.368735744677201,1.01740508298643,0.666325056535419,0.113365839032116,3.45893245004819,0.471838361832374,-0.892018412159321,142.150527954102,0.368735744677201,-0.138916384700731,3,"K8","1284_1_3_K08","NK"
"JR1284_1_CSF_all.fcs.2865",203003.609375,186228.5625,74750.1796875,39416.16015625,-0.0496946923379839,0.906763627032989,4.62782528365808,1.86450640104469,-0.792656759630543,4.84786519889752,0.495577287509158,-0.435999525878423,-0.788602844778697,0.289953215322671,2.88408433050231,1.72344913817121,143.097763061523,4.84786519889752,0.257276507984545,3,"J8","1284_1_3_J08","CD4T"
"JR1284_1_CSF_all.fcs.2881",278396.875,236983.609375,80802.65625,49651.83984375,0.13400345267829,0.321846816998934,4.3092754665529,0.71410209321072,-1.12376483820413,5.06341856758926,0.322422604220795,0.126172513528539,-0.299822730996953,0.817132898610824,2.5355750357978,1.04658535057858,144.073150634766,5.06341856758926,-0.434618931474758,3,"I8","1284_1_3_I08","CD4T"
"JR1284_1_CSF_all.fcs.2906",253016.375,213319.125,77649.5859375,42936.3203125,-0.111133545514747,-0.185220020999241,4.37043788081997,0.451788338918205,-0.169770104996092,4.52839141357217,0.205806944346204,0.27009668419639,0.46291342125307,0.524862235873336,2.69106187661537,2.22297277047935,145.423583984375,4.52839141357217,0.382921297554564,3,"H8","1284_1_3_H08","CD4T"
"JR1284_1_CSF_all.fcs.2924",374393.71875,312656.40625,86099.3203125,47904.640625,-0.0239038366468334,-0.682591778630286,4.65515686461446,0.600208235301268,-0.485614691253553,5.34644205777602,1.84453547916263,-0.631002989987397,0.0994281507844012,3.2048880691163,3.30023859907942,2.24238140813274,146.330810546875,5.34644205777602,0.642399875938312,3,"G8","1284_1_3_G08","CD4T"
"JR1284_1_CSF_all.fcs.2939",312755.40625,261853.203125,81131.4296875,50467.19921875,0.703204716043766,0.129587997233461,4.79944102816161,1.3901108234607,-1.24316659708484,4.7467108040239,-0.699161998855843,1.38945701367038,-0.274946616230945,0.966537251316545,2.72743499418604,2.09624324794732,147.291870117188,4.7467108040239,0.496387977308904,3,"F8","1284_1_3_F08","CD4T"
"JR1284_1_CSF_all.fcs.2962",357308.34375,278685.6875,95432.6953125,53453.12109375,5.26022009635594,0.87762205470602,4.9786894637003,2.57047650224133,0.287985605295492,0.652329408070241,0.811266219076843,3.16779320329552,0.497292105699661,-0.174507679977395,1.23175394226293,1.71656476212188,148.188919067383,-0.64476653857228,0.652329408070241,3,"E8","1284_1_3_E08","B"
"JR1284_1_CSF_all.fcs.2980",297234.59375,266511.28125,58193.42578125,35745.921875,-0.0744306261294041,0.801758572435198,4.11040122435438,0.653217575472534,-0.58734803502628,4.53294441525076,0.21931385570159,-0.36472713278835,0.00453234333403093,0.959301549823118,3.15643240854679,2.11797843461876,149.374084472656,4.53294441525076,0.582875060627409,3,"D8","1284_1_3_D08","CD4T"
"JR1284_1_CSF_all.fcs.2996",294711.1875,261175.609375,59824.7109375,36721.44140625,0.105539258834205,0.588647927960312,4.0359023415386,-0.700301879724564,-0.516342541937606,4.54484733020327,0.705693790574217,-0.356133671044967,-0.735071217111868,1.02962863927573,2.59763434188882,2.0705789863408,150.488204956055,4.54484733020327,0.807528010856808,3,"C8","1284_1_3_C08","CD4T"
"JR1284_1_CSF_all.fcs.3005",316733.3125,269127.609375,70410.4296875,38160.640625,1.00000219311399,-0.752891540827308,5.11881661155321,2.33731843592401,0.631872379063261,-0.76127130161915,0.958868517174321,0.041780092973303,-0.673517433319615,6.5492263141281,2.82112157945502,-1.64417814265466,151.442184448242,-0.76127130161915,0.719197164332665,3,"B8","1284_1_3_B08","CD8T"
"JR1284_1_CSF_all.fcs.3017",308548.28125,269435.609375,75879.40625,47816.16015625,0.167039693025405,-0.143202916053426,5.26136438639395,-0.295387891981662,0.565800752855928,1.15660969353543,0.115901558626055,-0.243657335917764,-1.49422271590508,7.01341613149273,2.59044498251118,-1.55673605200456,152.288421630859,1.15660969353543,-0.271420273972218,3,"A8","1284_1_3_A08","CD8T"
"JR1284_1_CSF_all.fcs.3046",349733.125,286101.203125,82260.6015625,49788.48046875,-0.0703112694994154,0.457022752796039,4.76545094384661,-1.08432583430577,-0.253820395568499,5.5983001247255,1.51645276474986,0.333382765086592,0.054717268009686,0.59384973546353,3.45385519478581,2.08667329777711,153.749694824219,5.5983001247255,-0.330126574234343,3,"A9","1284_1_3_A09","CD4T"
"JR1284_1_CSF_all.fcs.3079",287462.3125,260598.8125,77900.765625,47186.71875,-0.102636558989303,-0.834276518145786,4.43353372277002,-0.362837486814352,-0.221777541401838,4.60175639439348,-0.255257997724019,-0.553999064441462,1.22164113079124,0.393264946129681,2.67348829805927,2.68622697578567,155.875473022461,4.60175639439348,-0.494993162857392,3,"B9","1284_1_3_B09","CD4T"
"JR1284_1_CSF_all.fcs.3100",251458.75,225801.53125,66881.703125,38337.6015625,0.151271960553363,0.0971472097330472,4.28617214729455,0.103929957113191,0.0598376687052234,4.89361276721869,0.587683981982826,-0.20417992760305,-0.256440228517992,1.26619361286802,1.98471708624927,1.23876471838213,157.146453857422,4.89361276721869,0.515754215742019,3,"C9","1284_1_3_C09","CD4T"
"JR1284_1_CSF_all.fcs.3118",245018.578125,216128.09375,75451.6015625,44392.3203125,0.713590336351055,-0.870654519547009,4.75744529147275,1.65555130461784,-0.511008600424014,5.44158558580567,0.315696796696052,-0.298873849003403,-0.114398950075184,0.833258884992791,2.7927169771053,2.32579178652551,158.151000976562,5.44158558580567,0.317461471739933,3,"D9","1284_1_3_D09","CD4T"
"JR1284_1_CSF_all.fcs.3134",321639.96875,264406.8125,78961.703125,45823.6796875,-0.062399281977307,1.76426952710452,5.05983848102705,-1.12019575165915,-0.239869544106757,0.100603093511022,0.286691295535984,-0.0689160954857418,-1.79521809401515,7.07889280381993,2.30235833125382,1.36210045229246,159.012145996094,0.100603093511022,0.227160335047568,3,"E9","1284_1_3_E09","CD8T"
"JR1284_1_CSF_all.fcs.3152",300923.3125,261490.328125,85260.9296875,54102.71875,1.55207265711843,0.627582421311888,5.09265491515112,1.62531252061735,0.437901458490499,-0.221582288895625,1.00667117110643,-0.684867194586002,-0.391495406899353,6.49071568243963,2.43845882810673,1.21928420918005,160.247467041016,-0.221582288895625,-0.14417561554539,3,"F9","1284_1_3_F09","CD8T"
"JR1284_1_CSF_all.fcs.3167",247358.546875,225737.6875,64444.9140625,44950.08203125,0.0976008401698545,0.157600719761762,4.60187367133323,-0.580691708268323,0.212470457688416,0.137655997415421,0.295524202478908,-0.423531689770094,-1.31468967958348,6.72025834514582,2.47499288486629,-0.549083157874614,161.236709594727,0.137655997415421,0.205371204874576,3,"G9","1284_1_3_G09","CD8T"
"JR1284_1_CSF_all.fcs.3192",174328.71875,170582.1640625,84927.890625,55711.0390625,0.575578035003616,-1.23178664014329,4.70007578635923,1.0154850505696,1.22931111162367,-0.0177249926491938,0.240563794312674,-0.137665462238613,0.0283369263873512,6.53100807524914,1.21368121527034,2.40658188189395,162.279769897461,-0.0177249926491938,0.283127298598095,3,"H9","1284_1_3_H09","CD8T"
"JR1284_1_CSF_all.fcs.3215",267726.65625,236900.71875,81603.8671875,50372,0.275768228096454,0.245922793649849,4.51064056151931,-0.189017513395357,-1.13100033558709,4.90703372260832,0.136919338322168,0.103339976900112,-0.0218666621668034,-0.400986716788609,2.85263241763399,2.42358772336087,163.256378173828,4.90703372260832,0.363559209319124,3,"I9","1284_1_3_I09","CD4T"
