"","CellID","initial_size_spliced","initial_size_unspliced","initial_size","n_counts","velocity_self_transition","louvain","root_cells","end_points","velocity_pseudotime","latent_time","S_score","G2M_score","phase","velocity_length","velocity_confidence","velocity_confidence_transition","Cell","singler","excluded"
"53","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C14.out.bam",1086727,84507,1086727,854618.4,0.23435573,1,0,0.00130448564119667,0.338803052902222,0.26956178902736,-0.9702154011232,-1.18613032757699,"G1",4624.36,0.957197597589124,0.187106594137183,"1166_1_2_C14","PB",FALSE
"54","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_C15.out.bam",1728985,300053,1728985,931773.94,0.24945976,0,0,0.280809102780166,0.992455542087555,0.938418791151917,-0.054431491392512,-0.573567594923415,"G1",1340.33,0.856994443459011,0.160444589635222,"1166_1_2_C15","MBC",FALSE
"55","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D02.out.bam",1526418,106048,1526418,972810.2,0.33865398,3,0,0.000137558848076108,0.153587222099304,0.0310444025710768,1.42129345641886,-0.475514112077318,"S",4627.3,0.616954503827986,0.0526212993764161,"1166_1_2_D02","PB",FALSE
"56","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D03.out.bam",1547940,73204,1547940,987352.56,0.24597408,3,0,0.000620389051592455,0.22107458114624,0.0805583276849437,0.792295149098272,-0.967037633947424,"S",4566.73,0.751340775732786,0.214515362047864,"1166_1_2_D03","Undefined",TRUE
"57","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D04.out.bam",884891,52810,884891,785593.7,0.19868395,1,0,0.00129862822236635,0.365948677062988,0.333469304164191,-0.817303054229073,-1.43892444597708,"G1",4500.13,0.923224103240983,0.180991104606152,"1166_1_2_D04","PC",FALSE
"58","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D07.out.bam",1813498,115297,1813498,885988.5,0.40114385,3,0,5.60510223607082e-05,0.0345586538314819,0.0131726732696451,2.61292091037916,1.94628943022307,"S",4531.5,0.52649323865758,0.0154587012648052,"1166_1_2_D07","PB",FALSE
"59","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D08.out.bam",652511,64132,652511,952807.1,0.34639996,1,0,0.00110942404953946,0.305026233196259,0.262880865240731,1.22081875306707,-0.770186936318337,"S",4485.09,0.95207086409612,-0.015308136368425,"1166_1_2_D08","PC",FALSE
"60","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D09.out.bam",1793457,101318,1793457,940139.56,0.3220507,3,0,0.000104730989328695,0.0746185183525085,0.0337427890193642,0.402329159101914,2.66280580812746,"G2M",8888.14,0.963757215715308,0.0919156785680514,"1166_1_2_D09","PB",FALSE
"61","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D10.out.bam",1446438,96531,1446438,947713.2,0.29934275,1,0,0.00129395021017039,0.324711084365845,0.261600680385543,-1.51453780394334,-1.16775914956857,"G1",4519.18,0.949081748203482,-0.0461262582595967,"1166_1_2_D10","PB",FALSE
"62","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D12.out.bam",1502814,61536,1502814,956619.44,0.40833566,3,0,3.95355860294995e-05,0.12737113237381,0.0101178260773445,2.12942735550794,1.32711818110835,"S",8953.97,0.995662163782307,0.037719481300407,"1166_1_2_D12","PB",FALSE
"63","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D13.out.bam",1410868,445720,1410868,941245.06,0.018683761,0,0,0.00986038375370974,0.698155283927917,0.86046363894228,-0.757525106417296,-0.807556601902386,"G1",1624.46,0.722259159392079,0.373100448249291,"1166_1_2_D13","MBC",FALSE
"64","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D14.out.bam",1280401,71729,1280401,990601.3,0.29769284,3,0,0.000196308316854131,0.0856229066848755,0.0366535556912942,1.12158586253291,1.69031221372587,"G2M",9079.06,0.898211252111327,0.111034550736008,"1166_1_2_D14","PB",FALSE
"65","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_D15.out.bam",1548934,72468,1548934,973331.94,0.26533338,3,0,0.000582917214445435,0.149167060852051,0.087146042975027,2.12590720262815,-0.462947515539221,"S",4625.88,0.727711335192796,0.143398320654327,"1166_1_2_D15","PC",FALSE
"66","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E01.out.bam",1808652,100772,1808652,966897.56,0.36544102,3,0,0.000151729036236857,0.052651584148407,0.0203339798008063,1.68541150172817,1.2666437905114,"S",8926.01,0.946283007220327,-0.0446444491914356,"1166_1_2_E01","PB",FALSE
"67","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E02.out.bam",2173930,83475,2173930,932910.44,0.42645144,3,0,5.13599802867846e-05,0.0969789028167725,0.0161207660327613,1.37041412404548,2.5602494952915,"G2M",8818.59,0.973103189813492,0.0101647164072505,"1166_1_2_E02","PB",FALSE
"68","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E03.out.bam",1519780,125915,1519780,973565.56,0.284752,1,0,0.00113894565328016,0.319187343120575,0.278529575641577,-1.23377628485893,-1.16272916793823,"G1",4537.82,0.970437255506581,-0.017545907510739,"1166_1_2_E03","PB",FALSE
"69","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E04.out.bam",730358,94750,730358,899655.6,0.1860277,1,0,0.00102436876881989,0.355648934841156,0.315595600188362,-0.774740581289183,-0.989457483549376,"G1",4517.91,0.878237043275794,0.274825586156112,"1166_1_2_E04","PB",FALSE
"70","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E05.out.bam",1370425,90671,1370425,977731.25,0.38042444,3,0,4.98936748542551e-05,0.0913270711898804,0.00228009955075723,2.49574960817063,1.23062661317018,"S",8973.33,0.979652401200685,0.0390282550896133,"1166_1_2_E05","PB",FALSE
"71","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E06.out.bam",710953,49965,710953,987626.3,0.4362593,1,0,0.00142719007575603,0.362537026405334,0.318528296700309,-0.65756316041468,-1.10789672039651,"G1",4466.61,0.908154757818853,-0.0678054363594492,"1166_1_2_E06","PC",FALSE
"72","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E07.out.bam",1196199,113845,1196199,887460.9,0.31309384,1,0,0.00141486257750668,0.369225203990936,0.301743170520077,-1.25149459814946,-1.11384486765475,"G1",4544.97,0.964225465661685,0.0358171717653499,"1166_1_2_E07","PB",FALSE
"73","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E08.out.bam",1298009,155112,1298009,966194.6,0.40198165,1,0,0.00165374517989655,0.349186360836029,0.310687608515987,-1.02527308161043,-1.15884388416737,"G1",2004.54,0.437454791909771,-0.0872525778468992,"1166_1_2_E08","PC",FALSE
"74","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E09.out.bam",1606157,78106,1606157,964816.9,0.40829915,3,0,2.66706659941435e-05,0.0885292887687683,0.0113310891959582,2.31554671960531,1.4210199459179,"S",8885.73,0.979271588757014,0.0262346061486561,"1166_1_2_E09","PB",FALSE
"75","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E10.out.bam",2071711,81231,2071711,981714.1,0.40635574,3,0,4.39927479624778e-05,0.115247130393982,0.0068792919886413,2.53964138732706,0.363615788640203,"S",8919.66,0.996336169925089,0.0248054221179157,"1166_1_2_E10","Undefined",TRUE
"76","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E11.out.bam",1203419,77376,1203419,964941.1,0.29007292,1,0,0.001429991869627,0.33749520778656,0.257819269870696,-1.61120029803503,-1.32431615021852,"G1",4421.08,0.956207396878868,0.0569740231240271,"1166_1_2_E11","PB",FALSE
"77","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E12.out.bam",966735,75392,966735,950927.44,0.24544396,1,0,0.00134946031387968,0.359635174274445,0.295802206179506,-1.27846501670952,-1.35694091577788,"G1",4496.52,0.987997159872838,0.132051967491208,"1166_1_2_E12","PB",FALSE
"78","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E13.out.bam",820177,66602,820177,818490.8,0.18028384,1,0,0.00122609686883898,0.344529747962952,0.313983657546291,-1.1781059509137,-0.955529057227813,"G1",4531.5,0.877941874116613,0.298600845503423,"1166_1_2_E13","PC",FALSE
"79","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E14.out.bam",1743936,214463,1743936,964740.9,0.28169793,0,0,0.496108655440353,0.989330887794495,0.915970098679634,-0.292922566965671,-0.58170842329661,"G1",1332.54,0.856969299833574,0.139994289373177,"1166_1_2_E14","MBC",FALSE
"80","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_E15.out.bam",1445811,62650,1445811,998198.25,0.2920859,3,0,0.0001391894005916,0.0817463397979736,0.0382050742204223,0.0632500230667983,3.1073719815091,"G2M",8964.32,0.937640411195375,0.124264072845756,"1166_1_2_E15","PB",FALSE
"81","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F02.out.bam",1473152,210967,1473152,933128.75,0.024900079,1,0,0.000290655388035564,0.48441880941391,0.51253469835665,-0.802114501206771,-1.03202032355575,"G1",1675.04,0.47986401952517,0.386031652102105,"1166_1_2_F02","MBC",FALSE
"82","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_F03.out.bam",1553443,98570,1553443,919512.56,0.41737896,3,0,0.000178585669642199,0.133079648017883,0.00327629088452119,2.28308044994954,0.887289335921004,"S",9066,0.910380711858042,-0.0247715103764611,"1166_1_2_F03","PB",FALSE
